2026-01-02 20:25:07 | DEBUG | Logger initialized in development mode with level DEBUG
2026-01-02 20:25:07 | INFO | Starting up the application...
2026-01-02 20:25:07 | INFO | Shutting down the application...
2026-01-02 20:25:07 | INFO | Starting up the application...
2026-01-02 20:25:07 | INFO | Shutting down the application...
2026-01-02 20:25:08 | INFO | Starting up the application...
2026-01-02 20:25:08 | INFO | Shutting down the application...
2026-01-02 20:25:08 | INFO | Starting up the application...
2026-01-02 20:25:08 | INFO | Shutting down the application...
2026-01-02 20:25:08 | INFO | Starting up the application...
2026-01-02 20:25:08 | INFO | Shutting down the application...
2026-01-02 20:25:08 | INFO | Starting up the application...
2026-01-02 20:25:08 | INFO | Shutting down the application...
2026-01-02 20:25:08 | INFO | Starting up the application...
2026-01-02 20:25:08 | INFO | Shutting down the application...
2026-01-02 20:25:08 | INFO | Starting up the application...
2026-01-02 20:25:08 | INFO | Shutting down the application...
2026-01-02 20:25:08 | INFO | Starting up the application...
2026-01-02 20:25:08 | INFO | User logged in: admin_cars@test.com
2026-01-02 20:25:08 | DEBUG | Attempting to create a new car by user ID: 1
2026-01-02 20:25:08 | INFO | Car created with ID: 1 by user ID: 1
2026-01-02 20:25:08 | INFO | Shutting down the application...
2026-01-02 20:25:08 | INFO | Starting up the application...
2026-01-02 20:25:08 | INFO | User logged in: manager_cars@test.com
2026-01-02 20:25:08 | DEBUG | Attempting to create a new car by user ID: 1
2026-01-02 20:25:08 | INFO | Car created with ID: 1 by user ID: 1
2026-01-02 20:25:08 | INFO | Shutting down the application...
2026-01-02 20:25:08 | INFO | Starting up the application...
2026-01-02 20:25:08 | INFO | Shutting down the application...
2026-01-02 20:25:08 | INFO | Starting up the application...
2026-01-02 20:25:09 | INFO | User logged in: admin_cars@test.com
2026-01-02 20:25:09 | INFO | Shutting down the application...
2026-01-02 20:25:09 | INFO | Starting up the application...
2026-01-02 20:25:09 | INFO | User logged in: admin_cars@test.com
2026-01-02 20:25:09 | DEBUG | Attempting to retrieve all cars by user ID: 1
2026-01-02 20:25:09 | INFO | Retrieved 2 cars from database by user ID: 1
2026-01-02 20:25:09 | INFO | Shutting down the application...
2026-01-02 20:25:09 | INFO | Starting up the application...
2026-01-02 20:25:09 | INFO | User logged in: manager_cars@test.com
2026-01-02 20:25:09 | DEBUG | Attempting to retrieve all cars by user ID: 1
2026-01-02 20:25:09 | INFO | Retrieved 2 cars from database by user ID: 1
2026-01-02 20:25:09 | INFO | Shutting down the application...
2026-01-02 20:25:09 | INFO | Starting up the application...
2026-01-02 20:25:09 | INFO | User logged in: admin_cars@test.com
2026-01-02 20:25:09 | DEBUG | Attempting to retrieve all cars by user ID: 1
2026-01-02 20:25:09 | INFO | Retrieved 5 cars from database by user ID: 1
2026-01-02 20:25:09 | DEBUG | Attempting to retrieve all cars by user ID: 1
2026-01-02 20:25:09 | INFO | Retrieved 5 cars from database by user ID: 1
2026-01-02 20:25:09 | INFO | Shutting down the application...
2026-01-02 20:25:10 | INFO | Starting up the application...
2026-01-02 20:25:10 | INFO | Shutting down the application...
2026-01-02 20:25:10 | INFO | Starting up the application...
2026-01-02 20:25:10 | INFO | User logged in: admin_cars@test.com
2026-01-02 20:25:10 | DEBUG | Attempting to retrieve car with ID: 1 by user ID: 1
2026-01-02 20:25:10 | INFO | Car retrieved with ID: 1 by user ID: 1
2026-01-02 20:25:10 | INFO | Shutting down the application...
2026-01-02 20:25:10 | INFO | Starting up the application...
2026-01-02 20:25:10 | INFO | User logged in: manager_cars@test.com
2026-01-02 20:25:10 | DEBUG | Attempting to retrieve car with ID: 1 by user ID: 1
2026-01-02 20:25:10 | INFO | Car retrieved with ID: 1 by user ID: 1
2026-01-02 20:25:10 | INFO | Shutting down the application...
2026-01-02 20:25:10 | INFO | Starting up the application...
2026-01-02 20:25:10 | INFO | User logged in: admin_cars@test.com
2026-01-02 20:25:10 | DEBUG | Attempting to retrieve car with ID: 99999 by user ID: 1
2026-01-02 20:25:10 | ERROR | Car with ID: 99999 not found by user ID: 1
2026-01-02 20:25:10 | INFO | Shutting down the application...
2026-01-02 20:25:10 | INFO | Starting up the application...
2026-01-02 20:25:10 | INFO | Shutting down the application...
2026-01-02 20:25:10 | INFO | Starting up the application...
2026-01-02 20:25:10 | INFO | User logged in: admin_cars@test.com
2026-01-02 20:25:10 | DEBUG | Attempting to update car with ID: 1 by user ID: 1
2026-01-02 20:25:10 | DEBUG | Attempting to retrieve car with ID: 1 by user ID: 1
2026-01-02 20:25:10 | INFO | Car retrieved with ID: 1 by user ID: 1
2026-01-02 20:25:11 | INFO | Car updated with ID: 1 by user ID: 1
2026-01-02 20:25:11 | INFO | Shutting down the application...
2026-01-02 20:25:11 | INFO | Starting up the application...
2026-01-02 20:25:11 | INFO | User logged in: manager_cars@test.com
2026-01-02 20:25:11 | DEBUG | Attempting to update car with ID: 1 by user ID: 1
2026-01-02 20:25:11 | DEBUG | Attempting to retrieve car with ID: 1 by user ID: 1
2026-01-02 20:25:11 | INFO | Car retrieved with ID: 1 by user ID: 1
2026-01-02 20:25:11 | INFO | Car updated with ID: 1 by user ID: 1
2026-01-02 20:25:11 | INFO | Shutting down the application...
2026-01-02 20:25:11 | INFO | Starting up the application...
2026-01-02 20:25:11 | INFO | User logged in: admin_cars@test.com
2026-01-02 20:25:11 | DEBUG | Attempting to update car with ID: 99999 by user ID: 1
2026-01-02 20:25:11 | DEBUG | Attempting to retrieve car with ID: 99999 by user ID: 1
2026-01-02 20:25:11 | ERROR | Car with ID: 99999 not found by user ID: 1
2026-01-02 20:25:11 | INFO | Shutting down the application...
2026-01-02 20:25:11 | INFO | Starting up the application...
2026-01-02 20:25:11 | INFO | Shutting down the application...
2026-01-02 20:25:11 | INFO | Starting up the application...
2026-01-02 20:25:11 | INFO | User logged in: admin_cars@test.com
2026-01-02 20:25:11 | INFO | Shutting down the application...
2026-01-02 20:25:11 | INFO | Starting up the application...
2026-01-02 20:25:12 | INFO | User logged in: admin_cars@test.com
2026-01-02 20:25:12 | DEBUG | Attempting to delete car with ID: 1 by user ID: 1
2026-01-02 20:25:12 | DEBUG | Attempting to retrieve car with ID: 1 by user ID: 1
2026-01-02 20:25:12 | INFO | Car retrieved with ID: 1 by user ID: 1
2026-01-02 20:25:12 | INFO | Car deleted with ID: 1 by user ID: 1
2026-01-02 20:25:12 | INFO | Shutting down the application...
2026-01-02 20:25:12 | INFO | Starting up the application...
2026-01-02 20:25:12 | INFO | User logged in: manager_cars@test.com
2026-01-02 20:25:12 | DEBUG | Attempting to delete car with ID: 1 by user ID: 1
2026-01-02 20:25:12 | DEBUG | Attempting to retrieve car with ID: 1 by user ID: 1
2026-01-02 20:25:12 | INFO | Car retrieved with ID: 1 by user ID: 1
2026-01-02 20:25:12 | INFO | Car deleted with ID: 1 by user ID: 1
2026-01-02 20:25:12 | INFO | Shutting down the application...
2026-01-02 20:25:12 | INFO | Starting up the application...
2026-01-02 20:25:12 | INFO | User logged in: admin_cars@test.com
2026-01-02 20:25:12 | DEBUG | Attempting to delete car with ID: 99999 by user ID: 1
2026-01-02 20:25:12 | DEBUG | Attempting to retrieve car with ID: 99999 by user ID: 1
2026-01-02 20:25:12 | ERROR | Car with ID: 99999 not found by user ID: 1
2026-01-02 20:25:12 | INFO | Shutting down the application...
2026-01-02 20:25:12 | INFO | Starting up the application...
2026-01-02 20:25:12 | INFO | Shutting down the application...
2026-01-02 20:25:12 | INFO | Starting up the application...
2026-01-02 20:25:12 | INFO | User logged in: admin_cars@test.com
2026-01-02 20:25:12 | DEBUG | Attempting to create a new car by user ID: 1
